,0,1,2,3,4,5,6
0,,"PCA(n_components=20, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 10}",0.6614335147795748,0.8359375,0.671392021720969
1,,"PCA(n_components=20, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.6293226711243134,0.83125,0.6946097883597884
2,,"PCA(n_components=20, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.6633068217630071,0.8359375,0.7247807017543859
3,,"PCA(n_components=20, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': DecisionTreeClassifier(random_state=42), 'n_estimators': 50}",0.6309103819894065,0.8375,0.699865984405458
4,,"PCA(n_components=20, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 25}",0.7024655410488625,0.8484375,0.7361981342244501
5,,"PCA(n_components=20, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 20},0.6786384779422008,0.840625,0.7126061681982734
6,,"PCA(n_components=10, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 10}",0.6927153156528998,0.8515625,0.728339947089947
7,,"PCA(n_components=10, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.6862246513975435,0.8421875,0.7645937761069341
8,,"PCA(n_components=10, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.706986925373174,0.8484375,0.7732003620161515
9,,"PCA(n_components=10, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': DecisionTreeClassifier(random_state=42), 'n_estimators': 50}",0.6860097240834506,0.846875,0.7696237120579226
10,,"PCA(n_components=10, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.7236980050657895,0.8546875,0.7930242272347536
11,,"PCA(n_components=10, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.6869737364704288,0.84375,0.7505308409913674
12,,"PCA(n_components=5, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'gini', 'max_depth': 10}",0.7062560019772391,0.84375,0.6589042049568365
13,,"PCA(n_components=5, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.7222776783031002,0.8515625,0.7613478139793929
14,,"PCA(n_components=5, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 10}",0.7492828787432838,0.8484375,0.7743490671122251
15,,"PCA(n_components=5, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': DecisionTreeClassifier(random_state=42), 'n_estimators': 50}",0.7278805262981889,0.8484375,0.7803884711779449
16,,"PCA(n_components=5, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.7494166772416184,0.8453125,0.7671261487050961
17,,"PCA(n_components=5, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.7379823937571686,0.8453125,0.7524105402394876
18,,"KernelPCA(kernel='rbf', n_components=5, n_jobs=8, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'gini', 'max_depth': 15}",0.6707654192209882,0.8328125,0.6452067669172932
19,,"KernelPCA(kernel='rbf', n_components=5, n_jobs=8, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.77208183440312,0.8625,0.7613130047340575
20,,"KernelPCA(kernel='rbf', n_components=5, n_jobs=8, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.7858323523542944,0.859375,0.7752715121136173
21,,"KernelPCA(kernel='rbf', n_components=5, n_jobs=8, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 50}",0.7788506387160169,0.859375,0.7506352687273741
22,,"KernelPCA(kernel='rbf', n_components=5, n_jobs=8, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.7548372868150615,0.853125,0.7068365357839042
23,,"KernelPCA(kernel='rbf', n_components=5, n_jobs=8, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.7641093137753198,0.8546875,0.7587023113338902
24,,"KernelPCA(kernel='rbf', n_components=10, n_jobs=8, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 10}",0.6795257735383478,0.846875,0.6689553745474799
25,,"KernelPCA(kernel='rbf', n_components=10, n_jobs=8, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.7891748335192531,0.8578125,0.775689223057644
26,,"KernelPCA(kernel='rbf', n_components=10, n_jobs=8, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.8026548127546986,0.8671875,0.7884642160957951
27,,"KernelPCA(kernel='rbf', n_components=10, n_jobs=8, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 50}",0.7867407847876604,0.8609375,0.7723214285714286
28,,"KernelPCA(kernel='rbf', n_components=10, n_jobs=8, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.7650025452967819,0.8546875,0.7537071846282373
29,,"KernelPCA(kernel='rbf', n_components=10, n_jobs=8, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.7712230736811707,0.8625,0.7718340991367307
30,,"KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.7213395875037953,0.8546875,0.681869604566973
31,,"KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.8181874069708753,0.878125,0.7969141604010025
32,,"KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.8312542865096614,0.88125,0.8020572263993316
33,,"KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 50}",0.8133605230293661,0.8734375,0.7928501810080757
34,,"KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.812222714907936,0.8640625,0.7940772069061542
35,,"KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.7916794197263712,0.8640625,0.7942512531328323
36,,"KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.7373680665688235,0.859375,0.7452224310776943
37,,"KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.8103309756173724,0.878125,0.7848875661375663
38,,"KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.821987430977677,0.878125,0.8048593706488444
